Comment,Designator,Footprint,JLCPCB Part #
WS2812B-V5/W,D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2874885
10uH,L1,L_Changjiang_FNR252012S,C37428
BSS138,"Q1,Q2",SOT-23,C406812
MIC5504-3.3YM5,U1,SOT-23-5,C347386
2.2uF,"C2,C6,C5,C1,C3",C_0603_1608Metric,C23630
32M,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C337683
10k,"R3,R1,R4,R6,R2,R5",R_0603_1608Metric,C25804
0,R7,R_0603_1608Metric,C21189
CH582F,U2,QFN-28-1EP_4x4mm_P0.4mm_EP2.6x2.6mm,C3001175
32k,Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,C271654
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,C319148
100nF,C4,C_0603_1608Metric,C14663
