Designator,Mid X,Mid Y,Layer,Rotation
C1,111.2475,-93.98,top,-90
C2,116.8,-87.02475,top,-90
C3,126.5,-82.9385,top,90
C4,118.336,-87.02475,top,-90
C5,120,-89.6,top,180
C6,131.2,-89.1385,top,0
D1,113.95,-80.7,top,0
J1,122.7,-99.5,top,0
J2,107.34,-89.55,top,-90
J3,115.45,-100.2,top,-90
JP1,130.61,-97.575,top,-90
L1,120.436,-87.02475,top,-90
Q1,112.3,-85.6885,top,90
Q2,112.3,-89.6885,top,-90
R1,125.2,-92.8,top,-90
R2,123.7,-92.8,top,-90
R3,120.7,-92.8,top,-90
R4,122.2,-92.8,top,-90
R5,114.9,-85.6885,top,90
R6,114.9,-89.6885,top,90
R7,128.8,-85,top,-90
SW1,132.265,-95.21,top,180
U1,114.2475,-93.98,top,0
U2,125,-87.5385,top,0
Y1,131.136,-92.2505,top,-90
Y2,119.7,-83.3,top,180
